jeremić,a	jere,mi,ća
prav,ih	pravih
samsung,a	sam,sun,ga
frižider,e	friži,dere
korisnik,u	korisniku
telefon,a	telefona
frižider,u	friži,deru
telefon,e	telefo,ne
termostat,a	termo,sta,ta
ranjiv,a	ranji,va
upad,a	u,pada
inženjering,om	inženjer,in,gom
manipulacija,ma	manipula,cijama
poverljiv,im	pover,ljivim
mejl,ovima	mej,lovima
poraz,u	poraz,u
proizvođač,u	proizvođa,ču
gugl,u	gu,glu
uređaj,ima	uređajima
dom,u	domu
oregon,u	ore,gonu
kamera,ma	ka,merama
televizor,om	televi,zorom
nemarnost,i	ne,mar,nosti
senzor,e	sen,zore
pejsmejker,om	pej,sme,j,ke,rom
haker,i	h,ak,eri
haker,a	h,ak,era
omiljen,ih	omil,jenih
skup,ovima	skupovima
hakovanje,m	ha,kovan,jem
motor,a	motora
sudar,a	sudara
ishod,om	ishod,om
semafor,a	se,ma,fora
visokoobučen,e	visoko,obuč,ene
osetljiv,ih	osetlji,vih
autopilot,a	auto,pilota
silos,a	sil,osa
način,a	načina
provajder,i	prova,j,deri
oblak,u	obla,ku
obnažen,i	ob,na,ženi
selfi,ji	sel,fi,ji
korisnost,i	korisnosti
štetnost,i	šte,tnosti
opravdanost,i	opravdan,osti
osetljiv,om	osetlji,vom
isplativost,i	ispla,ti,vosti
malen,a	mal,ena
tehnološki,m	tehnološkim
koncept,om	koncep,tom
čest,ih	če,stih
teret,a	tereta
kosovar,a	kosov,ara
spisk,a	spi,ska
nestrukturiran,a	ne,strukturi,rana
proizvodni,h	proizvodnih
izgubljen,ih	izgublj,enih
ishod,e	ishode
lak,šu	lak,šu
jakup,a	ja,kupa
preuranjen,o	pre,ura,njeno
preporučljiv,o	preporu,č,ljivo
lider,om	lide,rom
mehmet,om	meh,me,tom
ali,jem	ali,jem
talat,om	t,ala,tom
poseta,ma	pose,tama
frustrirajući,m	fru,stri,ra,jućim
zastoj,em	zasto,jem
kontakt,e	kontakte
kontakt,i	kontak,ti
nivo,ima	nivoima
izražen,ih	izraž,enih
slab,o	slabo
plan,om	planom
kiparski,m	ki,par,skim
rešenje,m	rešenjem
osobenost,ima	osob,eno,stima
nerešiv,om	ne,re,ši,vom
kršenje,m	kr,šenjem
ilir,a	ili,ra
dugoli,ja	du,go,lija
oto,a	o,to,a
fudbal,a	fudbala
rehagelov,a	re,ha,ge,lova
rezultat,om	rezultatom
tim,om	ti,mom
rehagel,a	re,ha,gela
sporting,a	s,por,tinga
naj,istaknut,iji	naj,istaknu,tiji
trideseti,m	tri,dese,tim
stadion,a	stadiona
brdovit,om	br,dovi,tom
sponzor,a	spon,zora
maradonin,e	mara,don,ine
grub,oj	gru,boj
neosnovan,im	ne,osnov,anim
pretrpljen,ih	pre,trp,ljenih
odbijen,u	odbi,jenu
minut,u	minutu
sokratis,a	so,kra,tisa
papastatopulos,a	pa,pa,sta,to,pu,lo,sa
jak,a	jaka
hotel,u	hotelu
navijač,e	navi,jače
vuvuzela,ma	vu,v,uze,lama
doboš,ima	dob,o,šima
harmonika,ma	harmoni,kama
jak,o	jako
navijač,i	navi,jači
ultranacionalistički,h	ultra,nacionali,stičkih
organizator,i	organiza,tori
huligan,a	hu,li,gana
učesnik,e	učesnike
kamenica,ma	ka,meni,cama
sakriven,im	sakri,venim
šaht,ovima	ša,ht,ovima
život,i	živo,ti
svetski,m	svetskim
travnjak,a	trav,njaka
skup,ovi	sku,povi
predsednički,h	predsed,ničkih
udarac,a	uda,raca
plakat,i	pla,kati
krug,u	krugu
protivnički,h	protiv,ničkih
basesku,a	ba,se,sku,a
miting,a	mi,tinga
dečak,a	dečaka
element,e	elemente
dinu,a	d,inu,a
patriču,a	patri,ču,a
disident,a	di,si,den,ta
pesnik,a	pesnika
dinesku,a	d,ine,sku,a
predsednikov,a	predsed,ni,kova
rumunski,h	rumun,skih
takmac,e	tak,ma,ce
nezabeležen,i	ne,zabeleženi
ismail,u	i,sma,ilu
kadare,u	ka,da,re,u
gugl,a	g,ugla
karikaturist,a	kari,ka,turista
polufinalist,a	polu,fina,lista
finalist,a	fina,lista
ansamb,ala	ansamb,ala
vladin,e	vla,dine
marselj,u	mar,se,lju
crtani,h	cr,tan,ih
filmski,h	fil,mskih
fokus,om	foku,som
apelacioni,h	ape,la,cionih
temelj,i	temelji
otvoren,og	otvorenog
obnovljen,ih	obnov,ljenih
društven,e	društvene
kamion,ima	kami,onima
voz,ovi	voz,ovi
stanica,ma	stanicama
poljoprivredni,h	poljoprivrednih
podsticaj,e	podstica,je
sto,love	sto,love
smeštaj,a	smeštaja
rom,i	romi
mađar,i	mađ,ari
drugačiji,m	drugačijim
materijal,a	materijala
romski,m	ro,mskim
jukom,-a	ju,kom,-,a
dug,ovima	du,govima
njen,i	njeni
dnevni,h	dnevnih
meden,i	me,deni
dug,ove	du,gove
uobičajen,a	uobičajena
pozajmica,ma	pozaj,mi,cama
dug,ovi	du,govi
pouzdan,im	pouzdan,im
kup,u	kupu
nobelov,u	nobel,ovu
rajteralm,u	raj,te,ral,mu
romed,a	ro,meda
bauman,a	bau,mana
francuz,a	francu,za
pjerik,a	pje,rika
burže,a	bur,že,a
stefan,a	stefana
arsenijević,a	ar,seni,jevića
komandarev,a	koman,da,reva
vihor,u	vi,hor,u
bazen,ima	ba,zen,ima
hesinki,ju	he,sin,kiju
plivački,m	pli,va,čkim
svetlin,a	svet,lina
rusev,a	ru,se,va
stokholm,u	sto,khol,mu
nezamenljiv,om	ne,zamen,ljivom
peterburg,om	peter,bur,gom
dablin,om	da,b,linom
pariz,om	pari,zom
veles,a	vele,sa
luksemburg,om	luksem,bur,gom
rumuski,h	ru,mu,skih
lej,a	le,ja
skup,a	skupa
sokol,a	soko,la
oljdaši,ja	o,lj,da,šija
incident,om	inciden,tom
vasil,a	va,sila
kodeks,a	kod,ek,sa
pošten,e	pošt,ene
redosled,a	redosle,da
kompatibilnost,i	kompati,bilnosti
zakonski,h	zakonskih
kriv,im	krivi,m
zaštićen,og	zašti,ćenog
ramuš,u	ra,mu,šu
haradinaj,u	ha,rad,ina,ju
astrit,a	a,stri,ta
bajruš,a	baj,ru,ša
dokaz,ima	dokazima
ministrov,u	mini,str,ovu
haradinaj,a	ha,rad,ina,ja
morinin,o	mor,in,ino
lahi,ju	la,hi,ju
brahimaj,u	bra,hi,maju
stil,a	stila
kreator,a	krea,tora
modni,h	mod,nih
trend,u	tren,du
klijent,e	klijen,te
set,a	seta
trend,ove	trendove
turist,i	turisti
obučen,ih	obuč,enih
adi,ja	a,dija
kromenaker,a	kro,men,ak,era
kreator,i	krea,tori
kerol,a	ke,rola
nadahnut,u	nadah,nu,tu
kreator,e	krea,tore
brend,ove	bren,dove
admir,a	ad,mira
karišik,a	kari,ši,ka
kostim,e	ko,sti,me
plesač,i	ple,sa,či
inspirisan,om	inspiri,sanom
talent,i	talen,ti
brend,ovi	bren,dovi
časopis,ima	časopisima
ormar,ima	or,ma,rima
kupac,a	kupaca
komesar,i	kome,sa,ri
svež,e	sveže
izazov,ima	izazovima
održiv,oj	održivo,j
zadatak,a	zadataka
socijalist,a	socija,lista
demokrat,a	demokra,ta
budžetski,h	budžetskih
ren,a	r,ena
istaknut,o	istaknuto
dačijan,u	da,či,janu
čološ,u	č,ološ,u
multijezičnost,i	multi,jezi,čnosti
times,-a	ti,mes,-,a
prisustvo,m	prisustvom
čest,im	če,stim
motivisan,im	motivi,sanim
mešanje,m	meš,anjem
primenljiv,e	primen,ljive
dejton,u	dej,tonu
ograničen,a	ograničena
širok,og	širokog
bon,u	bo,nu
ohr,-u	o,hr,-,u
ran,i	rani
jedinstven,ih	jedinstven,ih
registarski,h	regi,star,skih
pasoš,e	paso,še
krug,ovima	krugovima
nestrpljiv,i	ne,strp,ljivi
skup,lja	skup,lja
predviđen,og	predviđ,enog
različit,o	različito
građanski,h	građanskih
kontinuiran,i	kontinui,rani
istok,u	istoku
znak,e	znake
progon,om	pro,go,nom
režim,i	reži,mi
martovski,h	mar,tov,skih
tretman,a	tretmana
benedikt,a	bene,dik,ta
benedikt,u	bene,dik,tu
benedikt,om	bene,dik,tom
evroatlantski,m	evro,atlan,tskim
otvoren,im	otvorenim
moratinos,om	mora,tin,osom
trajan,om	tra,janom
basesku,om	ba,se,sku,om
emil,om	e,mil,om
bok,om	bo,kom
josipović,em	josi,povi,ćem
protokol,om	proto,ko,lom
potpisan,im	pot,pisanim
suverenitet,u	suvereni,tetu
punkt,u	punk,tu
ministarstvo,m	ministar,stvom
blag,o	blago
obazriv,e	ob,az,ri,ve
protokol,a	protokola
euleks,-u	eu,le,ks,-,u
suveren,a	suver,ena
izazvan,e	izazvane
razarajući,h	ra,zara,jućih
oštećen,ih	ošte,ćenih
obučen,og	obuč,enog
generalštab,a	gene,ral,štaba
opremljen,ih	oprem,ljenih
specijalizovan,ih	specijaliz,ovanih
nasip,a	nasi,pa
rečni,h	re,čnih
privremen,ih	privremen,ih
železnički,h	želez,ničkih
oluja,ma	olu,jama
zdravstven,oj	zdravstvenoj
zdravstven,a	zdravstvena
dom,ova	domova
gubitak,a	gubitaka
hepatitis,a	hepati,tisa
jak,i	jaki
ekološki,m	ekološkim
faktor,ima	faktorima
kanal,u	kanalu
samoubistvo,m	samoubi,stvom
roditelj,a	roditelja
nasilnik,a	nasil,nika
privremen,om	pri,vremenom
celost,i	celosti
fragment,i	frag,menti
naj,star,ijim	naj,starijim
sin,om	sinom
razvod,a	razvo,da
rizik,u	riziku
propust,e	propu,ste
sam,oj	samoj
događaj,em	događa,jem
zločinac,a	zloč,inaca
mizogin,om	m,izo,g,inom
komentator,i	komenta,tori
portal,ima	por,ta,lima
muž,evima	mu,že,vima
ljubavnik,e	ljubav,nike
sindrom,a	sindroma
zatvor,u	zatvoru
nasilnik,u	nasil,niku
faktor,i	faktori
alkohol,a	alkohola
tim,ovi	timovi
dogovor,e	do,govore
rođen,ih	rođ,enih
unutarpolitički,h	unutar,političkih
vozački,m	voza,čkim
dozvola,ma	dozvo,lama
privremen,e	privremene
grb,om	gr,bom
dogovor,i	do,govori
postignut,i	postignu,ti
odobravanje,m	odobra,vanjem
enklava,ma	en,kl,avama
pitanje,m	pitanjem
unapređivanje,m	unapre,đivanjem
laden,a	l,ad,ena
operativac,a	opera,tiva,ca
sofisticiranost,i	sofistici,ranosti
istaknut,ih	istaknu,tih
pojačan,a	pojač,ana
rang,a	ranga
agent,i	agen,ti
zapadni,h	zapadnih
udar,e	udar,e
gasovod,e	gasov,ode
naftovod,e	na,ft,ov,ode
tanker,e	tan,k,ere
gliser,a	gli,sera
napunjen,ih	napu,njenih
eksploziv,om	eksplo,zi,vom
diversifikovan,ija	di,versi,fi,kov,anija
pljačkanje,m	pljač,kan,jem
puškomitraljez,e	pu,ško,mitra,lje,ze
tunis,u	tu,nisu
antivladini,h	an,tiv,la,din,ih
irački,h	i,ra,čkih
dogovor,ima	do,govorima
postignut,im	postignu,tim
koalicioni,h	koali,cionih
istok,a	istoka
kontinuiran,im	kontinui,ranim
sopstven,im	sopstvenim
nesporazum,i	ne,sporazu,mi
septembarski,h	septe,mbar,skih
student,ima	studentima
pojava,ma	pojavama
blagoslov,ima	bla,gosl,ovima
grub,i	gru,bi
um,u	umu
pristojnost,i	pristo,jnosti
sfor,-a	sf,or,-,a
platni,h	pla,tnih
debitni,h	de,bitnih
bankomat,a	ban,koma,ta
statistički,m	stati,stičkim
opticaj,u	opti,caju
delatnost,ima	delatnostima
gigant,i	gigan,ti
tržište,m	trži,štem
transakcija,ma	transak,cijama
dažbina,ma	dažb,inama
blagajnik,a	bla,gaj,nika
džep,u	dže,pu
račun,e	račune
kloniranje,m	klo,ni,ranjem
sopstven,oj	sopstvenoj
bojkot,om	boj,ko,tom
prihvatljiv,a	prihvatlji,va
pregovarač,ima	pregovara,čima
veteran,e	ve,tera,ne
aliju,a	ali,ju,a
intervju,om	intervju,om
sdsm,-a	sd,sm,-,a
termin,om	termin,om
pridev,om	pride,vom
sekularist,a	seku,lari,sta
skriven,u	skri,venu
član,u	članu
glas,ovi	glas,ovi
nepokolebljiv,i	nepo,kole,b,ljivi
jak,u	jaku
prošlogodišnji,m	proš,lo,godišnjim
islamski,h	isla,mskih
islamist,i	isla,mi,sti
planiran,u	plani,ranu
akp,-a	a,kp,-,a
restoran,ima	resto,ranima
bar,ovima	bar,ovima
klub,ova	klubova
hurijet,u	hu,rije,tu
mandat,u	man,datu
inspirisan,e	inspiri,sane
zainteresovan,ija	za,interesov,anija
tinejdžer,e	tine,jdž,ere
kuran,a	ku,rana
milijet,a	mili,jeta
miloševićev,e	miloševi,ćeve
ubijen,om	ubi,jenom
zoran,u	zo,ranu
đinđić,u	đinđi,ću
velikan,a	veli,kana
komandant,u	komandan,tu
milorad,u	milo,radu
ulemek,u	u,le,me,ku
klan,a	klana
đinđićev,oj	đinđi,ćevoj
istražitelj,i	istraži,telji
miloševićev,im	miloševi,ćevim
napad,ima	napadima
dejan,a	de,jana
milenković,a	milen,kovića
žrtven,og	žrt,venog
đinđićev,i	đinđi,će,vi
popović,a	popovića
đinđić,em	đinđi,ćem
dušan,a	dušana
mihajlović,a	mihaj,lovića
finansijer,a	finansi,jera
organizator,a	organizatora
visbaden,a	vis,ba,dena
zahtev,u	zahtevu
advokat,i	advo,kati
operater,e	opera,tere
in,-u	in,-,u
operater,i	opera,teri
zemljište,m	zemlji,štem
hektar,a	hektara
biro,a	biroa
ažuriran,e	ažuri,rane
maslinov,og	masl,in,ovog
seme,na	semena
paradajz,a	paradajza
materijal,i	materijali
grip,a	gri,pa
srčan,og	srčanog
odliv,a	odli,va
slep,e	sle,pe
poremećen,im	poreme,ćenim
vid,om	vidom
brajov,oj	bra,j,ovoj
aviv,u	avi,vu
mirko,m	mir,kom
cvetković,em	cvet,kovićem
stran,a	strana
fatmir,a	f,at,mira
sejdiu,a	se,j,di,ua
ahmet,om	ah,me,tom
davutoglu,om	dav,uto,glu,om
saud,om	sa,u,dom
fajsal,om	fa,j,sal,om
akreditiv,e	akredi,tive
valdet,a	val,de,ta
sadiku,a	sa,di,ku,a
danilo,m	dan,ilom
turk,om	tur,kom
region,ima	regionima
raj,a	raja
unodc,-a	u,no,dc,-,a
unodc,-u	u,no,dc,-,u
kriminal,u	krimin,alu
biznis,a	biznisa
miroljubiv,a	miro,ljubi,va
strazbur,u	st,raz,bu,ru
prošlogodišnji,h	proš,lo,godišnjih
saglasnost,i	saglasnosti
odgovor,e	odgovore
angažman,a	angaž,mana
ahtisarijev,im	ah,ti,sa,rije,vim
nadziran,e	nadzi,rane
angažovanost,i	angaž,ovanosti
stvar,ima	stvarima
mešovit,om	mešovi,tom
porast,a	porasta
zapaljiv,ih	zapal,ji,vih
hrvat,i	hrvati
slab,im	slabi,m
tročlan,im	tro,član,im
predsedništvo,m	predsed,ništ,vom
bajden,om	baj,denom
nacrt,u	nacr,tu
neprihvatljiv,a	neprihvatlji,va
protektorat,om	protek,to,ratom
božić,a	boži,ća
mamut,a	ma,mu,ta
pilot,i	pilo,ti
virus,a	virusa
pacijent,e	pacijente
vezan,o	vezano
naj,star,ijih	najstarijih
forenzički,h	for,enzi,čkih
razred,a	razreda
talent,e	talen,te
projekt,om	projektom
transatlantski,m	transa,t,lan,tskim
ambasador,i	ambasad,ori
uspostavljanje,m	uspostav,ljanjem
štab,a	štaba
isključiv,o	isključivo
ešdaunov,im	e,š,da,u,novim
transatlantski,h	transa,t,lan,tskih
nedovršen,o	ne,dovrš,eno
mnogi,ma	mnogima
kraj,em	krajem
orijentisan,a	orijenti,sana
kamen,a	kamena
šumski,h	šumskih
pomorski,m	pomor,skim
efekat,a	efekata
dug,e	duge
uračunat,i	u,računati
smanjenje,m	smanjenjem
spor,iji	spo,riji
severoistok,u	severo,istoku
najavljen,om	najav,ljenom
energetski,m	energe,tskim
gigant,om	gigan,tom
neupotrebljiv,a	ne,upotreb,ljiva
jedinstven,i	jedinstveni
abraziv,i	a,bra,zivi
voden,og	vodenog
rastvor,a	rastvora
seizmološki,h	se,iz,mo,loških
sloj,eva	slojeva
eksperiment,i	eksperimenti
imejl,u	i,mej,lu
bugarski,m	bugar,skim
bilion,a	bili,ona
kubni,h	kub,nih
rezerva,ma	rezer,vama
levičar,i	levi,čari
odred,a	odreda
prednji,m	pred,njim
prozor,ima	pro,zorima
krov,u	kr,ovu
vulgarakis,a	vul,gara,ki,sa
oficir,a	oficira
naj,čuvan,ijih	naj,ču,vani,jih
ulaz,a	ulaza
toalet,ima	to,ale,tima
prozor,a	prozora
zgrada,ma	zgradama
ulaz,ima	ula,zima
izlaz,ima	izla,zima
prestiž,a	presti,ža
vod,ovi	vod,ovi
general,e	genera,le
radovanović,a	radov,an,ovića
oružan,ih	oružanih
vod,a	voda
barjaktar,i	bar,ja,k,tari
počast,i	po,časti
general,ima	genera,lima
podoficir,a	podo,fici,ra
entitetski,h	enti,te,tskih
rame,nu	ra,menu
sulejman,a	su,lej,mana
tihić,a	ti,hi,ća
major,u	maj,oru
krajšumović,u	kraj,šum,oviću
sastav,a	sastava
mihaj,a	miha,ja
tanasesku,a	tana,se,sku,a
strukturni,h	strukturnih
titov,a	tit,ova
josip,a	josi,pa
broz,a	bro,za
neupotrebljen,a	ne,upotrebljena
dug,i	dugi
vinston,a	vin,sto,na
čerčil,a	čer,čila
gadafi,ja	ga,da,fija
abdel,a	ab,dela
naser,a	na,sera
džavaharlal,a	dž,ava,har,l,ala
nehru,a	ne,h,ru,a
holivudski,h	ho,livu,dskih
ričard,a	ričar,da
barton,a	bar,tona
star,o	staro
stručnjak,a	stručnjaka
papanikolau,a	p,ap,ani,kola,ua
ambijent,u	ambijen,tu
brod,a	broda
tabloid,i	ta,blo,idi
laž,i	laži
josip,om	josi,pom
broz,om	bro,zom
tito,m	ti,tom
penzioner,a	penzione,ra
domet,e	do,mete
televizija,ma	televizi,jama
kvaziuniverzitet,a	kva,zi,univerziteta
talentovan,i	talen,tovani
plagijat,ima	pla,gi,ja,tima
predatorski,m	preda,torskim
nepošten,im	nepošt,enim
evaluacija,ma	evalua,cijama
nezameranje,m	neza,me,ranjem
đak,e	đa,ke
funkcija,ma	funkcijama
fakultet,i	fakul,teti
institut,i	institu,ti
muftijin,o	mu,f,ti,j,ino
moj,e	moje
šamar,e	ša,ma,re
izgovor,i	iz,govori
vladar,u	vladar,u
rektor,u	rek,toru
profesor,u	profesor,u
vračar,u	vra,čaru
diletant,ima	dile,tan,tima
univerzitetski,m	univerzite,tskim
čestitost,i	česti,tosti
francuski,h	francuskih
đak,a	đaka
čvrst,ih	čvrstih
gospodstven,og	gospod,stvenog
slovenac,a	slovenaca
