jeremić,a	jere,mić,a
zemljin,og	zemlji,nog
šar,a	šar,a
ljosin,og	ljo,sino,g
naslov,om	naslovom
pijur,a	piju,r,a
felisit,a	f,elis,ita
janake,a	jana,k,e,a
reketaš,a	reke,taš,a
podnošljiv,u	podno,šljiv,u
zaplet,a	zap,leta
smisaon,im	smisao,nim
ucenjivač,ima	uce,njiva,čima
crtež,om	crt,e,å¾,om
pauk,a	p,auk,a
požar,a	požara
neugodnost,i	ne,ugo,dnosti
ljubav,lju	ljubav,lju
roman,u	roman,u
čuven,i	čuven,i
ljosin,im	ljo,sini,m
ljubitelj,ima	ljubitelj,ima
sin,ovima	sino,vima
običaj,u	običaj,u
sapunski,h	sap,unski,h
bok,a	bok,a
sin,u	sin,u
fončitov,oj	fon,čito,voj
fončitov,e	fon,čito,ve
duh,om	duho,m
ljosin,oj	ljo,sino,j
ljosin,o	ljo,sino
savremen,og	savremenog
peru,a	per,u,a
rasparen,e	rasp,aren,e
kućni,m	kuć,nim
papuča,ma	pap,uča,m,a
viskonzin,u	vis,konz,inu
neuron,i	neuron,i
autoimun,ih	auto,imun,i,h
alchajmerov,om	al,cha,j,mero,vom
demencija,ma	dem,encija,m,a
stub,a	stub,a
zdrav,e	zdrav,e
paradoks,a	paradoks,a
mit,ova	mitova
ustaljen,o	usta,ljeno
kvalitet,a	kvaliteta
moždan,e	možda,ne
pospan,i	pos,pani
talas,a	talasa
dubok,i	dubok,i
dubok,og	duboko,g
pokret,ima	pokret,ima
povećan,u	povećan,u
okean,u	oke,anu
svet,ove	sveto,ve
čas,u	čas,u
staž,a	sta,å¾,a
dušek,a	duše,k,a
zebald,a	z,ebal,d,a
saturnov,i	sat,urno,v,i
prsten,ovi	prsten,ovi
zebald,u	z,ebal,d,u
besmislen,ih	bes,mislen,i,h
vlastit,e	vlastit,e
putokaz,i	puto,kazi
valer,i	vale,r,i
monoton,e	mono,ton,e
knjiga,ma	knjiga,m,a
svaki,m	svaki,m
nepromenjen,og	nepr,omen,jenog
intenzitet,a	intenziteta
trend,ova	trend,ova
verzija,ma	verzija,m,a
vulkan,om	vul,kano,m
malkolm,a	mal,kol,m,a
lauri,ja	l,aur,ija
zenov,u	zen,ovu
ital,a	itala
zvev,a	zve,v,a
grob,ovima	grob,ovima
ernest,a	erne,sta
sabat,a	sab,ata
bulgakov,a	bul,g,akova
odsjaj,i	ods,jaj,i
dugogodišnji,h	dugogodišnj,i,h
autor,a	autora
proživljen,og	pro,življ,enog
otpor,a	otpora
svest,i	svesti
vlastit,og	vlastit,o,g
grad,ovi	gradovi
čas,ove	časov,e
zemaljski,h	zemaljsk,i,h
star,im	stari,m
trst,om	t,rst,o,m
zen,a	zen,a
kozim,a	koz,ima
neuverljiv,a	ne,uver,ljiva
original,a	original,a
leopold,a	leo,pol,d,a
blum,a	blu,m,a
bled,u	ble,d,u
džojsov,og	džo,j,sovo,g
život,ima	životi,m,a
detalj,u	detalj,u
jarbol,a	jar,bola
brodolom,a	brod,olom,a
prostor,i	prostori
pouzdan,a	pouzdan,a
razvučenost,i	razv,učeno,sti
koncept,a	koncepta
pisaći,m	pisa,ćim
papirnat,ih	papir,nati,h
jalov,om	jalo,vom
ključ,a	ključa
bezdan,u	bez,dan,u
avet,i	avet,i
univerzum,a	univerz,uma
model,i	modeli
čitaočev,og	čitao,čev,o,g
orijentir,i	orijenti,r,i
zamišljen,og	zami,šljen,o,g
nojev,a	noj,eva
unos,a	unos,a
čovekolik,i	čovek,olik,i
elektroencefalogram,a	elektro,ence,fal,ograma
uređaj,i	uređaji
niz,a	niza
određen,oj	određenoj
komfor,a	kom,fora
mit,-a	0,,,1,,,2,mit,-,a
mašina,ma	mašina,m,a
potreba,ma	potrebama
pionirski,h	pion,irsk,i,h
univerzitet,u	univerzitetu
računar,a	računara
automat,u	automat,u
naj,rashlađen,ija	naj,ras,hlađe,nija
preduslov,i	preduslov,i
prav,ih	pravi,h
samsung,a	sam,sun,g,a
frižider,e	fri,å¾,ider,e
korisnik,u	korisniku
telefon,a	telefona
frižider,u	fri,å¾,ider,u
telefon,e	telefon,e
termostat,a	termo,stata
ranjiv,a	ranjiv,a
upad,a	upa,d,a
inženjering,om	inženjer,ing,o,m
manipulacija,ma	manipulacij,ama
poverljiv,im	pover,ljivim
mejl,ovima	mej,lovima
poraz,u	porazu
proizvođač,u	proizvođač,u
gugl,u	g,ugl,u
uređaj,ima	uređaji,m,a
dom,u	dom,u
oregon,u	ore,gon,u
kamera,ma	kame,rama
televizor,om	televiz,orom
nemarnost,i	nemar,nosti
senzor,e	senzor,e
pejsmejker,om	p,ejs,mej,ker,o,m
haker,i	h,ake,r,i
haker,a	h,ake,r,a
omiljen,ih	omiljen,i,h
skup,ovima	skupov,ima
hakovanje,m	h,akova,njem
motor,a	motora
sudar,a	suda,r,a
ishod,om	ishod,o,m
semafor,a	sema,fora
visokoobučen,e	visoko,obu,čene
osetljiv,ih	osetljivi,h
autopilot,a	auto,pilot,a
silos,a	silo,s,a
način,a	načina
provajder,i	prov,ajde,r,i
oblak,u	obla,k,u
obnažen,i	obn,ažen,i
selfi,ji	sel,fij,i
korisnost,i	korisno,sti
štetnost,i	štetn,osti
opravdanost,i	opravdanost,i
osetljiv,om	osetljivo,m
isplativost,i	isplati,vosti
malen,a	male,na
tehnološki,m	tehnološki,m
koncept,om	koncept,o,m
čest,ih	česti,h
teret,a	teret,a
kosovar,a	kosova,r,a
spisk,a	spisk,a
nestrukturiran,a	nest,rukt,urira,na
proizvodni,h	proizvodnih
izgubljen,ih	izgubljen,i,h
ishod,e	ishod,e
lak,šu	lakš,u
jakup,a	jaku,p,a
preuranjen,o	preu,ranjeno
preporučljiv,o	preporuč,ljivo
lider,om	lider,o,m
mehmet,om	meh,meto,m
ali,jem	alije,m
talat,om	tala,tom
poseta,ma	poset,ama
frustrirajući,m	f,rus,trira,jući,m
zastoj,em	zasto,jem
kontakt,e	kontakt,e
kontakt,i	kontakt,i
nivo,ima	nivoima
izražen,ih	izraženi,h
slab,o	slabo
plan,om	plano,m
kiparski,m	kip,arski,m
rešenje,m	rešenje,m
osobenost,ima	osobenost,ima
nerešiv,om	nere,å¡,ivom
kršenje,m	kršenj,e,m
ilir,a	ili,r,a
dugoli,ja	dugo,lija
oto,a	oto,a
fudbal,a	fudbal,a
rehagelov,a	r,eha,gel,ova
rezultat,om	rezultatom
tim,om	timo,m
rehagel,a	r,eha,gel,a
sporting,a	sport,inga
naj,istaknut,iji	naj,istaknuti,j,i
trideseti,m	trideset,i,m
stadion,a	stadion,a
brdovit,om	b,rdo,vito,m
sponzor,a	spon,zora
maradonin,e	mara,doni,ne
grub,oj	grub,o,j
neosnovan,im	neo,snovan,i,m
pretrpljen,ih	pretr,pljeni,h
odbijen,u	odbij,enu
minut,u	minut,u
sokratis,a	sok,rati,s,a
papastatopulos,a	pap,asta,top,ulo,s,a
jak,a	jaka
hotel,u	hotel,u
navijač,e	navi,jače
vuvuzela,ma	v,u,v,uze,lama
doboš,ima	dob,oši,m,a
harmonika,ma	harmoni,kama
jak,o	jako
navijač,i	navi,jači
ultranacionalistički,h	ultra,nacionalisti,čkih
organizator,i	organizator,i
huligan,a	h,uli,gana
učesnik,e	učesnik,e
kamenica,ma	kamen,icama
sakriven,im	sak,riven,i,m
šaht,ovima	å¡,aht,ovima
život,i	životi
svetski,m	svetski,m
travnjak,a	trav,njaka
skup,ovi	skupov,i
predsednički,h	predsedničk,i,h
udarac,a	udara,c,a
plakat,i	plak,ati
krug,u	krugu
protivnički,h	protivni,čkih
basesku,a	bas,esk,u,a
miting,a	miti,nga
dečak,a	dečak,a
element,e	elemente
dinu,a	dinu,a
patriču,a	patri,äį,u,a
disident,a	dis,ident,a
pesnik,a	pesnik,a
dinesku,a	dine,sku,a
predsednikov,a	predsednik,ova
rumunski,h	rumunsk,i,h
takmac,e	takm,ace
nezabeležen,i	neza,beležen,i
ismail,u	ism,ail,u
kadare,u	kada,reu
gugl,a	g,ugla
karikaturist,a	kari,kat,urist,a
polufinalist,a	polu,final,ista
finalist,a	final,ista
ansamb,ala	ansa,mba,l,a
vladin,e	vladin,e
marselj,u	mars,elju
crtani,h	crta,nih
filmski,h	filmski,h
fokus,om	fokus,o,m
apelacioni,h	apel,acion,i,h
temelj,i	temelji
otvoren,og	otvorenog
obnovljen,ih	obnov,ljenih
društven,e	društvene
kamion,ima	kam,ioni,m,a
voz,ovi	voz,ovi
stanica,ma	stanica,m,a
poljoprivredni,h	poljoprivrednih
podsticaj,e	podsticaj,e
sto,love	stol,ove
smeštaj,a	smeštaj,a
rom,i	romi
mađar,i	mađar,i
drugačiji,m	drugačiji,m
materijal,a	materijala
romski,m	romsk,i,m
jukom,-a	0,,,1,,,2,,,3,,,4,j,uko,m,-,a
dug,ovima	dugov,ima
njen,i	njeni
dnevni,h	dnevni,h
meden,i	med,eni
dug,ove	dugov,e
uobičajen,a	uobičajen,a
pozajmica,ma	poz,ajm,icama
dug,ovi	dugov,i
pouzdan,im	pouzdan,i,m
kup,u	kupu
nobelov,u	n,obel,ovu
rajteralm,u	raj,teral,m,u
romed,a	rome,d,a
bauman,a	b,a,uman,a
francuz,a	francu,z,a
pjerik,a	p,jeri,k,a
burže,a	bur,å¾,e,a
stefan,a	stefan,a
arsenijević,a	ars,enije,vića
komandarev,a	komanda,reva
vihor,u	vih,oru
bazen,ima	bazen,ima
hesinki,ju	h,esi,n,kij,u
plivački,m	pliva,čkim
svetlin,a	svetl,ina
rusev,a	rus,eva
stokholm,u	stok,hol,m,u
nezamenljiv,om	neza,menljiv,o,m
peterburg,om	pete,r,burg,o,m
dablin,om	dab,lino,m
pariz,om	pariz,o,m
veles,a	vele,s,a
luksemburg,om	luks,emb,urg,o,m
rumuski,h	rumu,skih
lej,a	l,eja
skup,a	skupa
sokol,a	soko,l,a
oljdaši,ja	olj,daš,ija
incident,om	incident,o,m
vasil,a	vasil,a
kodeks,a	kod,eksa
pošten,e	pošte,ne
redosled,a	redosled,a
kompatibilnost,i	kompatibiln,osti
zakonski,h	zakonskih
kriv,im	krivi,m
zaštićen,og	zaštićen,o,g
ramuš,u	ramu,å¡,u
haradinaj,u	har,adin,aju
astrit,a	astr,ita
bajruš,a	baj,ruš,a
dokaz,ima	dokazi,m,a
ministrov,u	ministr,ovu
haradinaj,a	har,adin,aja
morinin,o	mori,nin,o
lahi,ju	l,a,hij,u
brahimaj,u	bra,h,imaju
stil,a	stila
kreator,a	kreat,ora
modni,h	mod,nih
trend,u	trend,u
klijent,e	klijent,e
set,a	set,a
trend,ove	trend,ove
turist,i	turisti
obučen,ih	obu,čeni,h
adi,ja	adij,a
kromenaker,a	kro,mena,kera
kreator,i	kreat,ori
kerol,a	ker,ola
nadahnut,u	nada,h,nut,u
kreator,e	kreat,ore
brend,ove	brend,ove
admir,a	admi,r,a
karišik,a	kari,å¡,ika
kostim,e	kosti,m,e
plesač,i	ples,ači
inspirisan,om	inspirisan,o,m
talent,i	talent,i
brend,ovi	brend,ovi
časopis,ima	časopis,ima
ormar,ima	orma,rima
kupac,a	kupac,a
komesar,i	kome,sar,i
svež,e	svež,e
izazov,ima	izazov,ima
održiv,oj	održivo,j
zadatak,a	zadataka
socijalist,a	socijalist,a
demokrat,a	demokrat,a
budžetski,h	budžetsk,i,h
ren,a	rena
istaknut,o	istaknut,o
dačijan,u	dač,ijan,u
čološ,u	äį,ološ,u
multijezičnost,i	multi,jezič,nosti
times,-a	time,s,-,a
prisustvo,m	prisustvo,m
čest,im	česti,m
motivisan,im	motivisan,i,m
mešanje,m	mešanj,e,m
primenljiv,e	primen,ljive
dejton,u	dej,ton,u
ograničen,a	ograničena
širok,og	široko,g
bon,u	bon,u
ohr,-u	0,,,1,,,2,ohr,-,u
ran,i	rani
jedinstven,ih	jedinstveni,h
registarski,h	registar,skih
pasoš,e	pas,oše
krug,ovima	krug,ovima
nestrpljiv,i	nest,r,plj,ivi
skup,lja	skuplj,a
predviđen,og	predviđeno,g
različit,o	različito
građanski,h	građanski,h
kontinuiran,i	kontinuiran,i
istok,u	istoku
znak,e	znak,e
progon,om	prog,onom
režim,i	režim,i
martovski,h	mart,ovski,h
tretman,a	tretmana
benedikt,a	bene,dikt,a
benedikt,u	bene,dikt,u
benedikt,om	bene,dikt,o,m
evroatlantski,m	evro,atl,ant,skim
otvoren,im	otvoreni,m
moratinos,om	morat,inos,o,m
trajan,om	trajan,o,m
basesku,om	bas,esk,u,om
emil,om	emil,o,m
bok,om	bok,o,m
josipović,em	jos,ipo,viće,m
protokol,om	protokol,o,m
potpisan,im	potpisan,i,m
suverenitet,u	suverenitet,u
punkt,u	pun,ktu
ministarstvo,m	ministarstvo,m
blag,o	blago
obazriv,e	oba,z,rive
protokol,a	protokola
euleks,-u	0,,,1,,,2,,,3,,,4,,,5,e,ule,k,s,-,u
suveren,a	suveren,a
izazvan,e	izazvan,e
razarajući,h	raza,rajući,h
oštećen,ih	oštećen,i,h
obučen,og	obu,čeno,g
generalštab,a	general,štab,a
opremljen,ih	opremljen,i,h
specijalizovan,ih	specijalizovani,h
nasip,a	nasi,p,a
rečni,h	rečni,h
privremen,ih	privremeni,h
železnički,h	železničk,i,h
oluja,ma	oluj,ama
zdravstven,oj	zdravstveno,j
zdravstven,a	zdravstvena
dom,ova	dom,ova
gubitak,a	gubitaka
hepatitis,a	h,epa,titi,s,a
jak,i	jaki
ekološki,m	ekološki,m
faktor,ima	faktorima
kanal,u	kanal,u
samoubistvo,m	samou,bist,vom
roditelj,a	roditelja
nasilnik,a	nasil,nika
privremen,om	privremeno,m
celost,i	celo,sti
fragment,i	fragment,i
naj,star,ijim	najstariji,m
sin,om	sino,m
razvod,a	razvo,d,a
rizik,u	rizik,u
propust,e	propust,e
sam,oj	samoj
događaj,em	događaje,m
zločinac,a	zločina,c,a
mizogin,om	miz,ogi,nom
komentator,i	komenta,tori
portal,ima	portal,ima
muž,evima	muž,evima
ljubavnik,e	ljubav,nike
sindrom,a	sindrom,a
zatvor,u	zatvor,u
nasilnik,u	nasil,niku
faktor,i	faktori
alkohol,a	alkohola
tim,ovi	timov,i
dogovor,e	dogovore
rođen,ih	rođen,i,h
unutarpolitički,h	unutar,političkih
vozački,m	vozač,kim
dozvola,ma	dozvola,m,a
privremen,e	privremen,e
grb,om	g,rbo,m
dogovor,i	dogovori
postignut,i	postignut,i
odobravanje,m	odobrava,njem
enklava,ma	enk,lava,m,a
pitanje,m	pitanje,m
unapređivanje,m	unapređivanj,e,m
laden,a	laden,a
operativac,a	operativ,aca
sofisticiranost,i	sofi,stici,rano,sti
istaknut,ih	istaknuti,h
pojačan,a	pojačan,a
rang,a	rang,a
agent,i	agent,i
zapadni,h	zapadni,h
udar,e	udar,e
gasovod,e	gaso,vode
naftovod,e	naft,ovod,e
tanker,e	tank,ere
gliser,a	gli,ser,a
napunjen,ih	napu,njenih
eksploziv,om	eksploziv,o,m
diversifikovan,ija	diver,sifi,kovani,j,a
pljačkanje,m	plja,čka,njem
puškomitraljez,e	puš,komit,ralje,z,e
tunis,u	tun,isu
antivladini,h	anti,vladin,i,h
irački,h	irač,kih
dogovor,ima	dogovori,m,a
postignut,im	postignut,i,m
koalicioni,h	koa,lici,onih
istok,a	istok,a
kontinuiran,im	kontinuiran,i,m
sopstven,im	sopstvenim
nesporazum,i	nes,porazu,m,i
septembarski,h	septembar,skih
student,ima	studenti,m,a
pojava,ma	pojava,m,a
blagoslov,ima	blago,slovima
grub,i	grub,i
um,u	umu
pristojnost,i	prist,ojno,sti
sfor,-a	0,,,1,,,2,,,3,sfor,-,a
platni,h	platni,h
debitni,h	deb,itnih
bankomat,a	bank,omat,a
statistički,m	statistički,m
opticaj,u	opti,caju
delatnost,ima	delatnosti,m,a
gigant,i	g,iga,nti
tržište,m	tržište,m
transakcija,ma	transakcija,m,a
dažbina,ma	d,a,å¾,bina,m,a
blagajnik,a	blag,ajni,k,a
džep,u	dže,p,u
račun,e	račun,e
kloniranje,m	kloni,ranjem
sopstven,oj	sopstveno,j
bojkot,om	boj,kot,o,m
prihvatljiv,a	prihvatljiv,a
pregovarač,ima	pregovara,čima
veteran,e	vet,eran,e
aliju,a	alij,u,a
intervju,om	intervju,o,m
sdsm,-a	0,,,1,,,2,,,3,sd,s,m,-,a
termin,om	termino,m
pridev,om	pridev,o,m
sekularist,a	seku,lari,sta
skriven,u	skriven,u
član,u	članu
glas,ovi	glasov,i
nepokolebljiv,i	nepo,kole,blji,v,i
jak,u	jaku
prošlogodišnji,m	prošlog,odiš,njim
islamski,h	islamsk,i,h
islamist,i	islam,isti
planiran,u	planiran,u
akp,-a	0,,,1,,,2,a,k,p,-,a
restoran,ima	restoran,ima
bar,ovima	bar,ovima
klub,ova	klub,ova
hurijet,u	h,uri,jet,u
mandat,u	mandat,u
inspirisan,e	inspirisan,e
zainteresovan,ija	zainteresovani,j,a
tinejdžer,e	tine,j,džer,e
kuran,a	kur,ana
milijet,a	milij,eta
miloševićev,e	milošević,eve
ubijen,om	ubijen,o,m
zoran,u	zoran,u
đinđić,u	äĳ,in,äĳ,iću
velikan,a	velika,na
komandant,u	komandant,u
milorad,u	milorad,u
ulemek,u	ule,mek,u
klan,a	klan,a
đinđićev,oj	äĳ,in,äĳ,ićev,o,j
istražitelj,i	istraži,telji
miloševićev,im	milošević,evim
napad,ima	napad,ima
dejan,a	deja,na
milenković,a	milen,kovića
žrtven,og	žrtve,nog
đinđićev,i	äĳ,in,äĳ,ićev,i
popović,a	popović,a
đinđić,em	äĳ,in,äĳ,ićem
dušan,a	dušan,a
mihajlović,a	mihajlović,a
finansijer,a	finansij,era
organizator,a	organizator,a
visbaden,a	vis,b,aden,a
zahtev,u	zahtev,u
advokat,i	advokat,i
operater,e	operat,ere
in,-u	0,,,1,in,-,u
operater,i	operat,eri
zemljište,m	zemljište,m
hektar,a	h,ekta,r,a
biro,a	biro,a
ažuriran,e	ažurira,ne
maslinov,og	mas,lino,vog
seme,na	semen,a
paradajz,a	parad,ajz,a
materijal,i	materijali
grip,a	gri,p,a
srčan,og	srčan,o,g
odliv,a	odli,v,a
slep,e	slep,e
poremećen,im	poremeć,enim
vid,om	vido,m
brajov,oj	bra,jov,o,j
aviv,u	avi,v,u
mirko,m	mir,kom
cvetković,em	cvet,ković,e,m
stran,a	strana
fatmir,a	fat,mira
sejdiu,a	s,ej,d,i,u,a
ahmet,om	a,h,meto,m
davutoglu,om	dav,uto,glu,o,m
saud,om	s,aud,o,m
fajsal,om	f,ajs,alom
akreditiv,e	akredit,ive
valdet,a	val,deta
sadiku,a	sad,iku,a
danilo,m	dani,lom
turk,om	tur,kom
region,ima	regioni,m,a
raj,a	raja
unodc,-a	0,,,1,,,2,,,3,,,4,uno,d,c,-,a
unodc,-u	0,,,1,,,2,,,3,,,4,uno,d,c,-,u
kriminal,u	kriminal,u
biznis,a	biznis,a
miroljubiv,a	miro,ljubi,v,a
strazbur,u	stra,zbu,r,u
prošlogodišnji,h	prošlog,odiš,njih
saglasnost,i	saglasnosti
odgovor,e	odgovore
angažman,a	angaž,mana
ahtisarijev,im	aht,isa,rije,vim
nadziran,e	nad,ziran,e
angažovanost,i	angažovan,osti
stvar,ima	stvarima
mešovit,om	mešovit,o,m
porast,a	porasta
zapaljiv,ih	zapa,ljivih
hrvat,i	hrvati
slab,im	slabi,m
tročlan,im	tro,člani,m
predsedništvo,m	predsedni,štvom
bajden,om	baj,deno,m
nacrt,u	nac,rtu
neprihvatljiv,a	neprihvatljiv,a
protektorat,om	protek,tora,tom
božić,a	bož,ića
mamut,a	mam,uta
pilot,i	pilot,i
virus,a	virusa
pacijent,e	pacijent,e
vezan,o	vezano
naj,star,ijih	najstariji,h
forenzički,h	fore,nzi,čkih
razred,a	razreda
talent,e	talent,e
projekt,om	projekto,m
transatlantski,m	trans,atl,ant,skim
ambasador,i	ambasador,i
uspostavljanje,m	uspostavljanje,m
štab,a	štab,a
isključiv,o	isključivo
ešdaunov,im	e,å¡,da,unov,i,m
transatlantski,h	trans,atl,ant,skih
nedovršen,o	nedov,ršeno
mnogi,ma	mnogim,a
kraj,em	krajem
orijentisan,a	orijentisan,a
kamen,a	kamen,a
šumski,h	šumsk,i,h
pomorski,m	pomo,rskim
efekat,a	efekata
dug,e	dug,e
uračunat,i	ura,čuna,t,i
smanjenje,m	smanjenjem
spor,iji	spori,j,i
severoistok,u	sever,oist,oku
najavljen,om	najav,ljenom
energetski,m	energetski,m
gigant,om	g,iga,nto,m
neupotrebljiv,a	ne,upotrebljiv,a
jedinstven,i	jedinstveni
abraziv,i	abra,zivi
voden,og	voden,o,g
rastvor,a	rastvora
seizmološki,h	se,izm,oloških
sloj,eva	slojeva
eksperiment,i	eksperimenti
imejl,u	ime,j,l,u
bugarski,m	bugarski,m
bilion,a	bili,ona
kubni,h	kub,nih
rezerva,ma	rezerva,m,a
levičar,i	levi,čari
odred,a	odreda
prednji,m	prednj,i,m
prozor,ima	prozor,ima
krov,u	krov,u
vulgarakis,a	vul,gara,kis,a
oficir,a	oficir,a
naj,čuvan,ijih	najč,uvan,ijih
ulaz,a	ulaza
toalet,ima	t,o,ale,tima
prozor,a	prozor,a
zgrada,ma	zgrada,m,a
ulaz,ima	ulazi,m,a
izlaz,ima	izlazi,m,a
prestiž,a	prest,iža
vod,ovi	vodo,v,i
general,e	general,e
radovanović,a	radovanović,a
oružan,ih	oružanih
vod,a	voda
barjaktar,i	bar,jak,tari
počast,i	poč,asti
general,ima	generali,m,a
podoficir,a	pod,oficir,a
entitetski,h	entitet,skih
rame,nu	rame,n,u
sulejman,a	sul,e,jman,a
tihić,a	tih,ića
major,u	maj,oru
krajšumović,u	kraj,šum,ović,u
sastav,a	sastava
mihaj,a	miha,j,a
tanasesku,a	tana,ses,k,u,a
strukturni,h	strukturnih
titov,a	tito,v,a
josip,a	jos,ipa
broz,a	bro,z,a
neupotrebljen,a	ne,upotrebljen,a
dug,i	dug,i
vinston,a	vins,tona
čerčil,a	čer,čila
gadafi,ja	gad,afija
abdel,a	abd,ela
naser,a	nase,r,a
džavaharlal,a	dža,v,aha,rla,l,a
nehru,a	ne,h,rua
holivudski,h	holi,v,udskih
ričard,a	riča,r,da
barton,a	bar,tona
star,o	staro
stručnjak,a	stručnjaka
papanikolau,a	pap,anik,ola,u,a
ambijent,u	ambijent,u
brod,a	brod,a
tabloid,i	tabl,o,idi
laž,i	laži
josip,om	jos,ipo,m
broz,om	bro,zom
tito,m	tito,m
penzioner,a	penzioner,a
domet,e	dome,t,e
televizija,ma	televizija,m,a
kvaziuniverzitet,a	kva,z,i,univerziteta
talentovan,i	talent,ovani
plagijat,ima	pla,gija,tima
predatorski,m	preda,torsk,i,m
nepošten,im	nepo,šteni,m
evaluacija,ma	evaluacij,ama
nezameranje,m	neza,meranj,e,m
đak,e	đak,e
funkcija,ma	funkcija,m,a
fakultet,i	fakultet,i
institut,i	institut,i
muftijin,o	m,u,f,tiji,no
moj,e	moje
šamar,e	šam,are
izgovor,i	izgovor,i
vladar,u	vladar,u
rektor,u	rektor,u
profesor,u	profesor,u
vračar,u	vra,čar,u
diletant,ima	dile,tanti,m,a
univerzitetski,m	univerzitetsk,i,m
čestitost,i	česti,tosti
francuski,h	francuski,h
đak,a	đak,a
čvrst,ih	čvrst,i,h
gospodstven,og	gospod,stvenog
slovenac,a	slovena,c,a
